Season,Team,Place,Finish,ELO,Heritgae_Score,PPM,GF,GA,Wins,Finals,SF,QF,R16,Total,Section,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes,Lookup
2023,Manchester City,1,1,2024.311279,93,2.230769231,2.461538462,0.384615385,0,1,3,6,9,11,1,eng Club Crest Manchester City,13,8,5,0,32,5,27,29,26.5,10.5,16,1.23,63639,Erling Haaland - 12,Ederson,,Manchester City2023
2023,Inter,2,2,1841.519287,118,1.846153846,1.461538462,0.846153846,1,1,2,5,10,14,2,it Club Crest Inter,13,7,3,3,19,11,8,24,17.9,15.1,2.8,0.22,71415,Edin Džeko - 4,André Onana,,Inter2023
2023,Real Madrid,4,3,1954.578003,577,2.166666667,2.166666667,1.083333333,7,7,14,15,23,23,SF,es Club Crest Real Madrid,12,8,2,2,26,13,13,26,22.3,15.9,6.4,0.53,58761,Vinicius Júnior - 7,Thibaut Courtois,,Real Madrid2023
2023,Milan,4,4,1838.609741,206,1.5,1.25,0.916666667,2,3,4,6,12,14,SF,it Club Crest Milan,12,5,3,4,15,11,4,18,16.5,14.6,1.9,0.16,72546,Olivier Giroud - 5,Mike Maignan,,Milan2023
2023,Bayern Munich,8,5,2014.212891,388,2.5,2.2,0.6,3,5,10,17,21,22,QF,de Club Crest Bayern Munich,10,8,1,1,22,6,16,25,19.4,10.9,8.4,0.84,75000,"Leroy Sané, Eric Maxim Choupo-Moting - 4",Yann Sommer,,Bayern Munich2023
2023,Napoli,8,6,1903.539063,12,2.2,2.6,0.8,0,0,0,0,3,6,QF,it Club Crest Napoli,10,7,1,2,26,8,18,22,25.2,13,12.2,1.22,49133,Victor Osimhen - 5,Alex Meret,,Napoli2023
2023,Benfica,8,7,1833.833252,40,2.1,2.6,1.3,0,0,0,4,5,14,QF,pt Club Crest Benfica,10,6,3,1,26,13,13,21,19,10.9,8.1,0.81,60222,João Mário - 6,Odisseas Vlachodimos,,Benfica2023
2023,Chelsea,8,8,1884.152832,272,1.6,1.2,0.9,2,3,8,11,17,18,QF,eng Club Crest Chelsea,10,5,1,4,12,9,3,16,16.2,10.7,5.5,0.55,39216,Raheem Sterling - 3,Kepa Arrizabalaga,,Chelsea2023
2023,Liverpool,16,9,2006.174561,264,1.875,2.375,1.5,2,5,6,9,11,14,R16,eng Club Crest Liverpool,8,5,0,3,19,12,7,15,14.7,10.6,4.1,0.51,51578,Mohamed Salah - 8,Alisson,,Liverpool2023
2023,Paris S-G,16,10,1904.829712,90,1.75,2,1.25,0,1,2,6,11,12,R16,fr Club Crest Paris S-G,8,4,2,2,16,10,6,14,10.8,10,0.8,0.1,46680,Kylian Mbappé - 7,Gianluigi Donnarumma,,Paris S-G2023
